send_id,campaign_id,send_date,template_name,recipients,delivered,opens,unique_opens,clicks,unique_clicks,bounces,unsubscribes,spam_complaints
SEND-001,EM-2026-001,2026-01-05,welcome_step_01_warm_intro.md,15000,14820,11200,9850,2100,1420,180,14,2
SEND-002,EM-2026-001,2026-01-07,welcome_step_02_feature_deep_dive.md,13200,13080,8900,7800,1850,980,120,10,1
SEND-003,EM-2026-001,2026-01-10,welcome_step_03_social_proof.md,12400,12280,7800,6500,1600,840,120,8,0
SEND-004,EM-2026-002,2026-01-12,weekly_newsletter_01.md,38500,38120,12800,9800,2100,1150,380,185,8
SEND-005,EM-2026-003,2026-02-01,spring_sale_announcement.md,42000,41580,18500,15200,4100,2300,420,340,12
SEND-006,EM-2026-003,2026-02-02,spring_sale_reminder.md,41000,40520,14200,11200,3400,1850,480,280,8
SEND-007,EM-2026-004,2026-02-10,abandonment_step_01_did_you_forget.md,9500,9380,6200,5200,2800,1850,120,35,1
SEND-008,EM-2026-004,2026-02-11,abandonment_step_02_cart_expiring.md,8200,8080,4800,3800,1850,1200,200,28,2
SEND-009,EM-2026-004,2026-02-13,abandonment_step_03_10_percent_offer.md,6900,6780,4200,3400,2100,950,180,32,1
SEND-010,EM-2026-005,2026-04-01,welcome_v2_step_01_intro.md,18000,17820,13500,12000,2600,1600,180,12,1
SEND-011,EM-2026-005,2026-04-03,welcome_v2_step_02_how_it_works.md,16000,15840,10200,8800,2100,1200,160,10,0
SEND-012,EM-2026-005,2026-04-06,welcome_v2_step_03_case_studies.md,14800,14650,8900,7500,1800,950,150,8,1
SEND-013,EM-2026-006,2026-04-14,weekly_newsletter_04.md,41000,40580,10800,10200,1650,980,410,260,15
SEND-014,EM-2026-004,2026-03-01,abandonment_step_01_did_you_forget.md,11000,10880,7100,5800,3100,2100,120,30,2
SEND-015,EM-2026-004,2026-03-02,abandonment_step_02_cart_expiring.md,9500,9380,5400,4200,2100,1400,120,25,1
SEND-016,EM-2026-004,2026-03-04,abandonment_step_03_10_percent_offer.md,8000,7880,4800,3800,2400,1100,120,20,0
SEND-017,EM-2026-002,2026-02-09,weekly_newsletter_02.md,40000,39600,13200,10100,2200,1200,400,200,10
SEND-018,EM-2026-002,2026-03-12,weekly_newsletter_03.md,42000,41580,13800,10200,2150,1180,420,210,9
SEND-019,EM-2026-006,2026-05-12,weekly_newsletter_05.md,43000,42570,11000,9900,1700,1020,430,270,14
SEND-020,EM-2026-006,2026-06-09,weekly_newsletter_06.md,44000,43560,11200,10100,1750,1050,440,265,12
