date,channel,campaign,spend,impressions,clicks,target_sku
2026-06-01,google_shopping,PLA_Gadget_Q2,425.00,12400,312,GADG-010
2026-06-01,meta_newsfeed,FB_Spark_Retarget,280.00,8900,178,SPRK-005
2026-06-01,email,Newsletter_June_W1,45.00,2500,89,ALL
2026-06-02,google_shopping,PLA_Widget_Q2,310.00,9800,245,WIDG-002
2026-06-02,meta_newsfeed,FB_Seal_Prospecting,195.00,7200,144,SEAL-050
2026-06-03,google_shopping,PLA_Gadget_Q2,390.00,11200,298,GADG-010
2026-06-03,email,Newsletter_June_W1,45.00,2600,92,ALL
2026-06-04,google_shopping,PLA_Gear_New,275.00,8900,223,GEAR-015
2026-06-04,meta_newsfeed,FB_Pump_Retarget,320.00,10100,202,PUMP-100
2026-06-05,google_shopping,PLA_Hose_Bundle,350.00,10500,280,HOSE-0600
2026-06-05,meta_newsfeed,FB_Gadget_Pro_LAL,450.00,14200,355,GADG-010
2026-06-06,meta_newsfeed,FB_Motor_Retarget,240.00,7800,156,MOTR-750
2026-06-06,email,Newsletter_June_W2,50.00,2800,95,ALL
2026-06-07,google_shopping,PLA_Controller_New,180.00,6200,155,CONT-100
2026-06-07,organic,none,0.00,0,0,NONE
2026-06-08,direct,none,0.00,0,0,NONE
2026-06-08,google_shopping,PLA_Gadget_Q2,410.00,13100,328,GADG-010
2026-06-08,meta_newsfeed,FB_Bearing_Retarget,165.00,5800,116,BEAR-6200
2026-06-09,google_shopping,PLA_Widget_Q2,330.00,10200,255,WIDG-002
2026-06-09,email,Newsletter_June_W2,50.00,2900,98,ALL
2026-06-10,google_shopping,PLA_Gadget_Q2,440.00,13800,345,GADG-010
2026-06-10,meta_newsfeed,FB_Pump_Retarget,310.00,9800,196,PUMP-100
2026-06-11,meta_newsfeed,FB_Spark_Retarget,265.00,8400,168,SPRK-005
2026-06-11,email,Newsletter_June_W3,55.00,3100,102,ALL
2026-06-12,google_shopping,PLA_Gear_New,290.00,9200,230,GEAR-015
2026-06-12,meta_newsfeed,FB_Gadget_Pro_LAL,430.00,13500,338,GADG-010
2026-06-13,google_shopping,PLA_Hose_Bundle,365.00,10800,270,HOSE-0600
2026-06-13,organic,none,0.00,0,0,NONE
2026-06-14,email,Newsletter_June_W3,55.00,3000,100,ALL
2026-06-14,meta_newsfeed,FB_Motor_Retarget,250.00,8000,160,MOTR-750
2026-06-15,google_shopping,PLA_Controller_New,195.00,6500,163,CONT-100
2026-06-15,meta_newsfeed,FB_Bearing_Retarget,170.00,6000,120,BEAR-6200
2026-06-16,google_shopping,PLA_Gadget_Q2,455.00,14100,353,GADG-010
2026-06-16,email,Newsletter_June_W4,60.00,3200,108,ALL
2026-06-17,meta_newsfeed,FB_Pump_Retarget,335.00,10400,208,PUMP-100
2026-06-17,google_shopping,PLA_Widget_Q2,320.00,10000,250,WIDG-002
2026-06-18,google_shopping,PLA_Gear_New,285.00,9100,228,GEAR-015
2026-06-18,meta_newsfeed,FB_Gadget_Pro_LAL,465.00,14500,363,GADG-010
2026-06-19,google_shopping,PLA_Hose_Bundle,380.00,11200,280,HOSE-0600
2026-06-19,email,Newsletter_June_W4,60.00,3300,110,ALL
2026-06-20,google_shopping,PLA_Spark_Prospecting,225.00,7500,188,SPRK-005
2026-06-20,meta_newsfeed,FB_Motor_Retarget,260.00,8200,164,MOTR-750
2026-06-21,organic,none,0.00,0,0,NONE
2026-06-21,direct,none,0.00,0,0,NONE
2026-06-22,google_shopping,PLA_Controller_New,200.00,6600,165,CONT-100
2026-06-22,meta_newsfeed,FB_Bearing_Retarget,175.00,6100,122,BEAR-6200
2026-06-23,email,Newsletter_June_W5,45.00,2400,82,ALL
2026-06-23,google_shopping,PLA_Gadget_Q2,420.00,13200,330,GADG-010
2026-06-24,meta_newsfeed,FB_Spark_Retarget,275.00,8600,172,SPRK-005
2026-06-24,google_shopping,PLA_Widget_Q2,340.00,10400,260,WIDG-002
2026-06-25,google_shopping,PLA_Gear_New,300.00,9400,235,GEAR-015
2026-06-25,meta_newsfeed,FB_Gadget_Pro_LAL,475.00,14800,370,GADG-010
2026-06-26,email,Newsletter_June_W5,45.00,2500,85,ALL
2026-06-26,google_shopping,PLA_Hose_Bundle,395.00,11600,290,HOSE-0600
2026-06-27,meta_newsfeed,FB_Pump_Retarget,325.00,10200,204,PUMP-100
2026-06-27,google_shopping,PLA_Motor_Prospecting,160.00,5500,138,MOTR-750
2026-06-28,google_shopping,PLA_Spark_Prospecting,220.00,7400,185,SPRK-005
2026-06-28,email,Newsletter_June_W5,45.00,2300,78,ALL
2026-06-29,meta_newsfeed,FB_Seal_Prospecting,200.00,7300,146,SEAL-050
2026-06-29,google_shopping,PLA_Controller_New,210.00,6800,170,CONT-100
2026-06-30,google_shopping,PLA_Gadget_Q2,435.00,13600,340,GADG-010
2026-06-30,meta_newsfeed,FB_Gadget_Pro_LAL,480.00,15000,375,GADG-010
