date,channel,campaign,spend,impressions,clicks,target_sku
2026-06-01,google_shopping,PLA_Gadget_Q2,425.00,12400,312,GADG-010
2026-06-01,meta_newsfeed,FB_Spark_Retarget,280.00,8900,178,SPRK-005
2026-06-01,email,Newsletter_June_W1,45.00,2500,89,ALL
2026-06-02,google_shopping,PLA_Widget_Q2,310.00,9800,245,WIDG-002
2026-06-02,meta_newsfeed,FB_GadgetMax_Launch,520.00,15200,410,GADG-030
2026-06-02,email,Newsletter_June_W1,45.00,2500,89,ALL
2026-06-03,google_shopping,PLA_Gadget_Q2,410.00,11800,298,GADG-010
2026-06-03,meta_newsfeed,FB_Spark_Retarget,280.00,8900,178,SPRK-005
2026-06-04,google_shopping,PLA_Widget_Q2,295.00,9200,230,WIDG-002
2026-06-04,meta_newsfeed,FB_GadgetMax_Launch,520.00,15200,410,GADG-030
2026-06-04,email,Newsletter_June_W1,45.00,2500,89,ALL
2026-06-05,google_shopping,PLA_Gadget_Q2,400.00,11500,285,GADG-010
2026-06-05,meta_newsfeed,FB_Spark_Retarget,280.00,8900,178,SPRK-005
2026-06-06,google_shopping,PLA_Widget_Q2,300.00,9500,238,WIDG-001
2026-06-06,email,Newsletter_June_W2,50.00,2800,95,ALL
2026-06-07,google_shopping,PLA_GadgetLite_Q2,380.00,10800,270,GADG-020
2026-06-07,meta_newsfeed,FB_Spark_Retarget,280.00,8900,178,SPRK-005
2026-06-08,google_shopping,PLA_Gadget_Q2,415.00,12000,305,GADG-010
2026-06-08,meta_newsfeed,FB_GadgetMax_Launch,520.00,15200,410,GADG-030
2026-06-08,email,Newsletter_June_W2,50.00,2800,95,ALL
2026-06-09,google_shopping,PLA_Widget_Q2,290.00,9000,225,WIDG-002
2026-06-10,google_shopping,PLA_GadgetLite_Q2,375.00,10600,265,GADG-020
2026-06-10,meta_newsfeed,FB_Widget_Retarget,260.00,8200,165,WIDG-001
2026-06-11,google_shopping,PLA_Spark_Q2,350.00,10200,255,SPRK-005
2026-06-11,email,Newsletter_June_W2,50.00,2800,95,ALL
2026-06-12,google_shopping,PLA_Widget_Q2,305.00,9600,240,WIDG-001
2026-06-12,meta_newsfeed,FB_GadgetPro_Retarget,310.00,9500,195,GADG-010
2026-06-13,google_shopping,PLA_GadgetMax_Q2,480.00,13500,340,GADG-030
2026-06-13,email,Newsletter_June_W3,55.00,3000,102,ALL
2026-06-14,google_shopping,PLA_Widget_Q2,295.00,9200,230,WIDG-002
2026-06-14,meta_newsfeed,FB_Spark_Retarget,280.00,8900,178,SPRK-005
2026-06-15,google_shopping,PLA_Widget_Q2,310.00,9800,245,WIDG-001
2026-06-15,meta_newsfeed,FB_GadgetPro_Retarget,310.00,9500,195,GADG-010
2026-06-16,google_shopping,PLA_GadgetLite_Q2,370.00,10400,260,GADG-020
2026-06-16,email,Newsletter_June_W3,55.00,3000,102,ALL
2026-06-17,google_shopping,PLA_Widget_Q2,300.00,9400,235,WIDG-002
2026-06-17,meta_newsfeed,FB_GadgetMax_Launch,520.00,15200,410,GADG-030
2026-06-18,google_shopping,PLA_Spark_Q2,345.00,10000,250,SPRK-005
2026-06-18,email,Newsletter_June_W3,55.00,3000,102,ALL
2026-06-19,google_shopping,PLA_Widget_Q2,305.00,9600,240,WIDG-001
2026-06-19,meta_newsfeed,FB_GadgetLite_Retarget,270.00,8500,170,GADG-020
2026-06-20,google_shopping,PLA_Gadget_Q2,420.00,12200,310,GADG-010
2026-06-20,meta_newsfeed,FB_GadgetMax_Launch,520.00,15200,410,GADG-030
2026-06-21,google_shopping,PLA_GadgetLite_Q2,380.00,10800,270,GADG-020
2026-06-21,email,Newsletter_June_W4,60.00,3200,110,ALL
2026-06-22,google_shopping,PLA_GadgetMax_Q2,475.00,13300,335,GADG-030
2026-06-22,meta_newsfeed,FB_Spark_Retarget,280.00,8900,178,SPRK-005
2026-06-23,google_shopping,PLA_Widget_Q2,290.00,9000,225,WIDG-002
2026-06-23,meta_newsfeed,FB_GadgetPro_Retarget,310.00,9500,195,GADG-010
2026-06-24,google_shopping,PLA_Spark_Q2,350.00,10200,255,SPRK-005
2026-06-24,email,Newsletter_June_W4,60.00,3200,110,ALL
2026-06-25,google_shopping,PLA_Gadget_Q2,405.00,11600,290,GADG-010
2026-06-25,meta_newsfeed,FB_Widget_Retarget,260.00,8200,165,WIDG-002
2026-06-26,google_shopping,PLA_GadgetLite_Q2,375.00,10600,265,GADG-020
2026-06-26,email,Newsletter_June_W4,60.00,3200,110,ALL
2026-06-27,google_shopping,PLA_Widget_Q2,310.00,9800,245,WIDG-001
2026-06-27,meta_newsfeed,FB_GadgetMax_Launch,520.00,15200,410,GADG-030
2026-06-28,google_shopping,PLA_Spark_Q2,340.00,9900,248,SPRK-005
2026-06-28,email,Newsletter_June_W4,60.00,3200,110,ALL
2026-06-29,google_shopping,PLA_Gadget_Q2,410.00,11800,298,GADG-010
2026-06-29,meta_newsfeed,FB_GadgetLite_Retarget,270.00,8500,170,GADG-020
2026-06-30,google_shopping,PLA_Widget_Q2,295.00,9200,230,WIDG-001
2026-06-30,meta_newsfeed,FB_GadgetPro_Retarget,310.00,9500,195,GADG-010
2026-06-30,email,Newsletter_June_W4,60.00,3200,110,ALL
