order_id,transaction_id,processor,fee_type,amount,currency
ORD-1001,txn-001,shopify_payments,gateway_fee,2.85,USD
ORD-1001,txn-002,shopify_payments,flat_fee,0.30,USD
ORD-1002,txn-003,shopify_payments,gateway_fee,0.99,USD
ORD-1002,txn-004,shopify_payments,flat_fee,0.30,USD
ORD-1003,txn-005,shopify_payments,gateway_fee,1.73,USD
ORD-1003,txn-006,shopify_payments,flat_fee,0.30,USD
ORD-1004,txn-007,shopify_payments,gateway_fee,4.40,USD
ORD-1004,txn-008,shopify_payments,flat_fee,0.30,USD
ORD-1005,txn-009,shopify_payments,gateway_fee,1.87,USD
ORD-1005,txn-010,shopify_payments,flat_fee,0.30,USD
ORD-1006,txn-011,shopify_payments,gateway_fee,0.50,USD
ORD-1006,txn-012,shopify_payments,flat_fee,0.30,USD
ORD-1007,txn-013,shopify_payments,gateway_fee,2.85,USD
ORD-1007,txn-014,shopify_payments,flat_fee,0.30,USD
ORD-1008,txn-015,shopify_payments,gateway_fee,1.73,USD
ORD-1008,txn-016,shopify_payments,flat_fee,0.30,USD
ORD-1009,txn-017,paypal,gateway_fee,0.66,USD
ORD-1009,txn-018,paypal,flat_fee,0.49,USD
ORD-1010,txn-019,shopify_payments,gateway_fee,4.40,USD
ORD-1010,txn-020,shopify_payments,flat_fee,0.30,USD
ORD-1011,txn-021,stripe,gateway_fee,1.05,USD
ORD-1011,txn-022,stripe,flat_fee,0.30,USD
ORD-1012,txn-023,shopify_payments,gateway_fee,0.15,USD
ORD-1013,txn-024,shopify_payments,gateway_fee,4.73,USD
ORD-1013,txn-025,shopify_payments,flat_fee,0.30,USD
ORD-1014,txn-026,shopify_payments,gateway_fee,8.47,USD
ORD-1014,txn-027,shopify_payments,flat_fee,0.30,USD
ORD-1015,txn-028,stripe,gateway_fee,1.35,USD
ORD-1015,txn-029,stripe,flat_fee,0.30,USD
ORD-1016,txn-030,shopify_payments,gateway_fee,0.99,USD
ORD-1016,txn-031,shopify_payments,flat_fee,0.30,USD
ORD-1017,txn-032,shopify_payments,gateway_fee,2.85,USD
ORD-1017,txn-033,shopify_payments,flat_fee,0.30,USD
ORD-1018,txn-034,stripe,gateway_fee,4.29,USD
ORD-1018,txn-035,stripe,flat_fee,0.30,USD
ORD-1019,txn-036,shopify_payments,gateway_fee,1.94,USD
ORD-1019,txn-037,shopify_payments,flat_fee,0.30,USD
ORD-1020,txn-038,shopify_payments,gateway_fee,0.72,USD
ORD-1020,txn-039,shopify_payments,flat_fee,0.30,USD
