order_id,sku,warehouse,carrier,ship_date,estimated_delivery,actual_delivery,status,destination_region,declared_value
ORD-1001,WH-001,WH-North,FastShip,2026-06-01,2026-06-04,2026-06-05,delivered,NE,1250.00
ORD-1002,WH-006,WH-East,PrimeLogistics,2026-06-01,2026-06-05,2026-06-04,delivered,SE,890.00
ORD-1003,WH-011,WH-South,HaulMaster,2026-06-02,2026-06-06,2026-06-10,delayed,SW,2340.00
ORD-1004,WH-002,WH-North,FastShip,2026-06-02,2026-06-05,2026-06-06,delivered,NE,675.00
ORD-1005,WH-007,WH-East,PrimeLogistics,2026-06-02,2026-06-07,2026-06-09,delivered,SE,1500.00
ORD-1006,WH-012,WH-South,TransGlobal,2026-06-03,2026-06-10,,in_transit,SW,3200.00
ORD-1007,WH-003,WH-North,FastShip,2026-06-03,2026-06-10,2026-06-15,delayed,NE,4500.00
ORD-1008,WH-008,WH-East,PrimeLogistics,2026-06-03,2026-06-08,,exception,SE,2200.00
ORD-1009,WH-013,WH-South,HaulMaster,2026-06-04,2026-06-08,2026-06-07,delivered,SW,980.00
ORD-1010,WH-004,WH-North,FastShip,2026-06-04,2026-06-08,2026-06-08,delivered,NE,1600.00
ORD-1011,WH-016,WH-North,TransGlobal,2026-06-04,2026-06-10,2026-06-14,delivered,NE,2800.00
ORD-1012,WH-009,WH-East,PrimeLogistics,2026-06-05,2026-06-09,2026-06-09,delivered,SE,1100.00
ORD-1013,WH-014,WH-South,HaulMaster,2026-06-05,2026-06-12,2026-06-14,delivered,SW,1950.00
ORD-1014,WH-005,WH-North,FastShip,2026-06-05,2026-06-08,2026-06-07,delivered,NE,560.00
ORD-1015,WH-017,WH-East,TransGlobal,2026-06-05,2026-06-11,2026-06-16,delayed,SE,3400.00
ORD-1016,WH-018,WH-East,PrimeLogistics,2026-06-06,2026-06-12,,exception,SE,5000.00
ORD-1017,WH-019,WH-South,HaulMaster,2026-06-06,2026-06-10,2026-06-09,delivered,SW,1450.00
ORD-1018,WH-010,WH-East,FastShip,2026-06-06,2026-06-09,2026-06-12,delayed,SE,1125.00
ORD-1019,WH-020,WH-North,TransGlobal,2026-06-07,2026-06-14,,in_transit,NE,4100.00
ORD-1020,WH-021,WH-South,HaulMaster,2026-06-07,2026-06-10,2026-06-10,delivered,SW,830.00
ORD-1021,WH-022,WH-East,PrimeLogistics,2026-06-07,2026-06-11,2026-06-13,delayed,SE,1675.00
ORD-1022,WH-001,WH-North,FastShip,2026-06-08,2026-06-11,2026-06-11,delivered,NE,940.00
ORD-1023,WH-023,WH-North,TransGlobal,2026-06-08,2026-06-12,2026-06-18,delayed,NE,3750.00
ORD-1024,WH-015,WH-South,HaulMaster,2026-06-08,2026-06-11,2026-06-12,delivered,SW,625.00
ORD-1025,WH-006,WH-East,PrimeLogistics,2026-06-08,2026-06-12,2026-06-12,delivered,SE,1300.00
ORD-1026,WH-011,WH-South,TransGlobal,2026-06-09,2026-06-14,2026-06-19,delayed,SW,5600.00
ORD-1027,WH-024,WH-North,FastShip,2026-06-09,2026-06-17,2026-06-20,delivered,NE,7200.00
ORD-1028,WH-007,WH-East,PrimeLogistics,2026-06-09,2026-06-12,2026-06-11,delivered,SE,880.00
ORD-1029,WH-025,WH-South,HaulMaster,2026-06-09,2026-06-13,2026-06-12,delivered,SW,1050.00
ORD-1030,WH-009,WH-East,TransGlobal,2026-06-10,2026-06-15,2026-06-18,delayed,SE,2900.00
ORD-1031,WH-003,WH-North,FastShip,2026-06-10,2026-06-17,,in_transit,NE,4300.00
ORD-1032,WH-012,WH-South,HaulMaster,2026-06-10,2026-06-14,2026-06-13,delivered,SW,1750.00
ORD-1033,WH-019,WH-South,TransGlobal,2026-06-10,2026-06-15,2026-06-21,delayed,SW,4800.00
ORD-1034,WH-016,WH-North,FastShip,2026-06-11,2026-06-14,2026-06-14,delivered,NE,720.00
ORD-1035,WH-008,WH-East,PrimeLogistics,2026-06-11,2026-06-16,,exception,SE,2600.00
