sku,warehouse,stock_on_hand,reorder_point,lead_time_days,unit_cost,monthly_demand
WH-001,WH-North,420,150,7,12.50,180
WH-002,WH-North,85,120,5,8.75,200
WH-003,WH-North,0,50,10,45.00,60
WH-004,WH-North,230,100,6,22.30,140
WH-005,WH-North,560,300,4,5.60,400
WH-006,WH-East,45,80,9,15.00,110
WH-007,WH-East,190,120,7,18.40,130
WH-008,WH-East,12,60,12,95.00,50
WH-009,WH-East,310,250,5,7.80,300
WH-010,WH-East,75,90,8,11.25,100
WH-011,WH-South,890,400,6,3.50,600
WH-012,WH-South,67,100,14,28.00,80
WH-013,WH-South,150,150,7,9.90,160
WH-014,WH-South,0,40,10,55.00,35
WH-015,WH-South,440,200,5,6.25,250
WH-016,WH-North,180,100,8,14.00,120
WH-017,WH-East,55,70,11,22.50,65
WH-018,WH-East,0,45,15,110.00,30
WH-019,WH-South,290,180,6,8.00,220
WH-020,WH-North,34,60,9,33.00,55
WH-021,WH-South,670,350,4,4.20,500
WH-022,WH-East,92,110,7,16.75,105
WH-023,WH-North,310,180,5,7.50,240
WH-024,WH-North,0,30,14,120.00,25
WH-025,WH-South,520,280,6,5.00,350
