po_number,vendor_name,order_date,received_date,item_code,quantity,unit_cost,line_total
PO-3001,Acme Supply,2026-03-01,2026-03-05,WIDG-001,100,4.50,450.00
PO-3002,Acme Supply,2026-03-01,2026-03-06,GADG-010,25,42.00,1050.00
PO-3003,Benson Parts,2026-03-02,2026-03-10,SPRK-005,200,12.75,2550.00
PO-3004,Benson Parts,2026-03-02,2026-03-12,FILT-100,150,8.50,1275.00
PO-3005,Coastal Trading,2026-03-03,2026-03-17,GEAR-015,50,35.00,1750.00
PO-3006,Coastal Trading,2026-03-03,2026-03-18,BEAR-6200,500,6.80,3400.00
PO-3007,Direct Parts,2026-03-04,2026-03-07,PUMP-100,10,215.00,2150.00
PO-3008,Direct Parts,2026-03-04,2026-03-06,PUMP-200,5,385.00,1925.00
PO-3009,Acme Supply,2026-03-05,2026-03-10,WIDG-002,80,7.25,580.00
PO-3010,Acme Supply,2026-03-05,2026-03-11,GADG-020,30,28.50,855.00
PO-3011,Benson Parts,2026-03-06,2026-03-14,FILT-200,100,14.00,1400.00
PO-3012,Benson Parts,2026-03-06,2026-03-15,SEAL-050,60,22.00,1320.00
PO-3013,Coastal Trading,2026-03-07,2026-03-20,GEAR-025,30,48.00,1440.00
PO-3014,Coastal Trading,2026-03-07,2026-03-22,BEAR-6202,400,9.20,3680.00
PO-3015,Eastern Logistics,2026-03-08,2026-03-25,MOTR-550,20,140.00,2800.00
PO-3016,Eastern Logistics,2026-03-08,2026-03-28,MOTR-750,15,195.00,2925.00
PO-3017,Eastern Logistics,2026-03-09,2026-03-26,CONT-100,40,88.00,3520.00
PO-3018,Eastern Logistics,2026-03-09,2026-03-29,SENS-001,100,32.50,3250.00
PO-3019,Direct Parts,2026-03-10,2026-03-12,HOSE-0600,200,45.00,9000.00
PO-3020,Direct Parts,2026-03-10,2026-03-13,HOSE-1000,150,62.00,9300.00
PO-3021,Acme Supply,2026-03-11,2026-03-14,WIDG-001,120,4.50,540.00
PO-3022,Acme Supply,2026-03-11,2026-03-15,GADG-010,30,42.00,1260.00
PO-3023,Benson Parts,2026-03-12,2026-03-19,SPRK-005,250,12.75,3187.50
PO-3024,Benson Parts,2026-03-12,2026-03-20,FILT-100,180,8.50,1530.00
PO-3025,Coastal Trading,2026-03-13,2026-03-21,GEAR-015,40,35.00,1400.00
PO-3026,Coastal Trading,2026-03-13,2026-03-24,BEAR-6200,600,6.80,4080.00
PO-3027,Direct Parts,2026-03-14,2026-03-16,PUMP-100,8,215.00,1720.00
PO-3028,Direct Parts,2026-03-14,2026-03-17,HOSE-0600,180,45.00,8100.00
PO-3029,Acme Supply,2026-03-15,2026-03-18,WIDG-002,90,7.25,652.50
PO-3030,Acme Supply,2026-03-15,2026-03-19,GADG-020,25,28.50,712.50
PO-3031,Coastal Trading,2026-03-16,2026-03-23,GEAR-025,25,48.00,1200.00
PO-3032,Coastal Trading,2026-03-16,2026-03-25,BEAR-6202,350,9.20,3220.00
PO-3033,Eastern Logistics,2026-03-17,2026-04-02,MOTR-550,25,140.00,3500.00
PO-3034,Eastern Logistics,2026-03-17,2026-04-03,MOTR-750,20,195.00,3900.00
PO-3035,Eastern Logistics,2026-03-18,2026-04-01,CONT-100,35,88.00,3080.00
PO-3036,Eastern Logistics,2026-03-18,2026-04-02,SENS-001,80,32.50,2600.00
PO-3037,Benson Parts,2026-03-19,2026-03-25,FILT-200,120,14.00,1680.00
PO-3038,Benson Parts,2026-03-19,2026-03-27,SEAL-050,50,22.00,1100.00
PO-3039,Direct Parts,2026-03-20,2026-03-22,PUMP-200,6,385.00,2310.00
PO-3040,Direct Parts,2026-03-20,2026-03-23,HOSE-1000,120,62.00,7440.00
PO-3041,Acme Supply,2026-03-21,2026-03-25,WIDG-001,150,4.50,675.00
PO-3042,Acme Supply,2026-03-21,2026-03-26,GADG-010,20,42.00,840.00
PO-3043,Coastal Trading,2026-03-22,2026-04-02,GEAR-015,35,35.00,1225.00
PO-3044,Coastal Trading,2026-03-22,2026-04-03,BEAR-6200,450,6.80,3060.00
PO-3045,Eastern Logistics,2026-03-23,2026-04-05,CONT-100,50,88.00,4400.00
PO-3046,Eastern Logistics,2026-03-24,2026-04-07,SENS-001,120,32.50,3900.00
PO-3047,Benson Parts,2026-03-25,2026-04-01,SPRK-005,180,12.75,2295.00
PO-3048,Direct Parts,2026-03-26,2026-03-28,PUMP-100,12,215.00,2580.00
PO-3049,Direct Parts,2026-03-28,2026-03-31,HOSE-0600,250,45.00,11250.00
PO-3050,Eastern Logistics,2026-03-30,2026-04-10,MOTR-750,18,195.00,3510.00
