invoice_num,item_code,quantity,unit_price,line_total,currency
INV-Q1-001,WIDG-001,100,4.50,450.00,USD
INV-Q1-001,GADG-010,25,42.00,1050.00,USD
INV-Q1-002,SPRK-005,200,12.75,2550.00,USD
INV-Q1-002,FILT-100,150,8.50,1275.00,USD
INV-Q1-003,GEAR-015,50,35.00,1750.00,USD
INV-Q1-003,BEAR-6200,500,6.80,3400.00,USD
INV-Q1-004,PUMP-100,10,225.00,2250.00,USD
INV-Q1-004,PUMP-200,5,385.00,1925.00,USD
INV-Q1-005,WIDG-002,80,7.25,580.00,USD
INV-Q1-005,GADG-020,30,28.50,855.00,USD
INV-Q1-006,FILT-200,100,14.00,1400.00,USD
INV-Q1-006,SEAL-050,60,22.00,1320.00,USD
INV-Q1-007,GEAR-025,30,48.00,1440.00,USD
INV-Q1-007,BEAR-6202,400,9.20,3680.00,USD
INV-Q1-008,MOTR-550,20,140.00,2800.00,USD
INV-Q1-008,MOTR-750,15,195.00,2925.00,USD
INV-Q1-009,CONT-100,40,88.00,3520.00,USD
INV-Q1-009,SENS-001,100,32.50,3250.00,USD
INV-Q1-010,WIDGET-999,10,15.00,150.00,USD
INV-Q1-010,PUMP-100,8,215.00,1720.00,USD
INV-Q1-011,HOSE-0600,200,47.50,9500.00,USD
INV-Q1-011,HOSE-1000,150,62.00,9300.00,USD
INV-Q1-012,SPRK-005,250,12.75,3187.50,USD
INV-Q1-012,FILT-100,180,7.50,1350.00,USD
INV-Q1-013,GEAR-015,40,35.00,1400.00,USD
INV-Q1-013,BEAR-6200,600,6.80,4080.00,USD
INV-Q1-014,PUMP-200,6,385.00,2310.00,USD
INV-Q1-014,HOSE-1000,120,62.00,7440.00,USD
INV-Q1-015,WIDG-001,150,4.50,675.00,USD
INV-Q1-015,GADG-010,20,42.00,840.00,USD
INV-Q1-016,CONT-100,50,88.00,4400.00,USD
INV-Q1-016,SENS-001,120,32.50,3900.00,USD
